"year","age","px"
1958,95,0.59785383
1958,96,0.5825166
1958,97,0.56755071
1958,98,0.55301071
1958,99,0.53894417
1958,100,0
1959,0,0.95567732
1959,1,0.99527371
1959,2,0.99660943
1959,3,0.99754152
1959,4,0.99817641
1959,5,0.99859834
1959,6,0.99887004
1959,7,0.99903558
1959,8,0.9991285
1959,9,0.99916946
1959,10,0.99917461
1959,11,0.99915564
1959,12,0.99912126
1959,13,0.99907928
1959,14,0.99903347
1959,15,0.99898605
1959,16,0.9989364
1959,17,0.99888264
1959,18,0.99882386
1959,19,0.99875974
1959,20,0.9986918
1959,21,0.99862281
1959,22,0.99855585
1959,23,0.99849425
1959,24,0.99844019
1959,25,0.99839487
1959,26,0.99835719
1959,27,0.99832412
1959,28,0.99828936
1959,29,0.99824388
1959,30,0.9981764
1959,31,0.99807283
1959,32,0.99792119
1959,33,0.99771125
1959,34,0.99743945
1959,35,0.99711456
1959,36,0.99675426
1959,37,0.99638801
1959,38,0.99604107
1959,39,0.9957212
1959,40,0.99541783
1959,41,0.99509253
1959,42,0.99470236
1959,43,0.99420639
1959,44,0.99356935
1959,45,0.99277935
1959,46,0.99183558
1959,47,0.99076041
1959,48,0.98958987
1959,49,0.98836097
1959,50,0.98711287
1959,51,0.9858648
1959,52,0.98462132
1959,53,0.98335259
1959,54,0.98200136
1959,55,0.98046483
1959,56,0.97861583
1959,57,0.97633797
1959,58,0.97352228
1959,59,0.97017585
1959,60,0.966393
1959,61,0.962409
1959,62,0.9585522
1959,63,0.95500781
1959,64,0.95184486
1959,65,0.94881508
1959,66,0.94549778
1959,67,0.94148757
1959,68,0.93636883
1959,69,0.92999951
1959,70,0.92241815
1959,71,0.91389767
1959,72,0.90493219
1959,73,0.89588138
1959,74,0.88698131
1959,75,0.87814727
1959,76,0.86901633
1959,77,0.85922421
1959,78,0.84841178
1959,79,0.8364369
1959,80,0.8233811
1959,81,0.80944822
1959,82,0.79496968
1959,83,0.78019457
1959,84,0.76525051
1959,85,0.75016005
1959,86,0.73481678
1959,87,0.71912954
1959,88,0.70304788
1959,89,0.68658103
1959,90,0.66982719
1959,91,0.65291759
1959,92,0.63601882
1959,93,0.61930282
1959,94,0.60293419
1959,95,0.58751521
1959,96,0.57197289
1959,97,0.55686591
1959,98,0.54224849
1959,99,0.52816667
1959,100,0
1960,0,0.95862935
1960,1,0.99575081
1960,2,0.99691407
1960,3,0.99773827
1960,4,0.99830971
1960,5,0.99869731
1960,6,0.998953
1960,7,0.99911413
1960,8,0.9992087
1960,9,0.99925382
1960,10,0.99926134
1960,11,0.99923808
1960,12,0.99918875
1960,13,0.9991172
1960,14,0.99902809
1960,15,0.99892814
1960,16,0.99882571
1960,17,0.99873103
1960,18,0.99865099
1960,19,0.9985896
1960,20,0.99854439
1960,21,0.99850895
1960,22,0.99847764
1960,23,0.99844573
1960,24,0.99841336
1960,25,0.99838378
1960,26,0.99836027
1960,27,0.9983456
1960,28,0.99833558
1960,29,0.99832049
1960,30,0.99828595
1960,31,0.99821283
1960,32,0.99808523
1960,33,0.99788875
1960,34,0.99761665
1960,35,0.99727758
1960,36,0.99689266
1960,37,0.99650175
1960,38,0.99614227
1960,39,0.99583024
1960,40,0.9955572
1960,41,0.99527783
1960,42,0.99494132
1960,43,0.99449916
1960,44,0.99390901
1960,45,0.9931534
1960,46,0.99222529
1960,47,0.99114361
1960,48,0.9899447
1960,49,0.98867399
1960,50,0.98738641
1960,51,0.98612285
1960,52,0.98490878
1960,53,0.98371985
1960,54,0.98249225
1960,55,0.98109082
1960,56,0.97934592
1960,57,0.9770978
1960,58,0.97419
1960,59,0.97062081
1960,60,0.96650888
1960,61,0.96218543
1960,62,0.95813074
1960,63,0.95462836
1960,64,0.95178835
1960,65,0.94926453
1960,66,0.9464806
1960,67,0.94289858
1960,68,0.93797474
1960,69,0.93152533
1960,70,0.92359557
1960,71,0.9145466
1960,72,0.90505486
1960,73,0.89563108
1960,74,0.88662151
1960,75,0.87792412
1960,76,0.86904846
1960,77,0.85950038
1960,78,0.84879165
1960,79,0.83672542
1960,80,0.82340299
1960,81,0.80908927
1960,82,0.79422256
1960,83,0.7791306
1960,84,0.76397582
1960,85,0.7487755
1960,86,0.73336926
1960,87,0.71761448
1960,88,0.70142087
1960,89,0.68477613
1960,90,0.66778563
1960,91,0.65059847
1960,92,0.63341169
1960,93,0.61643045
1960,94,0.59985204
1960,95,0.58458806
1960,96,0.56894538
1960,97,0.55375982
1960,98,0.53908582
1960,99,0.52496917
1960,100,0
1961,0,0.9614118
1961,1,0.99620915
1961,2,0.99720932
1961,3,0.99792931
1961,4,0.99843738
1961,5,0.99878879
1961,6,0.99902578
1961,7,0.99917953
1961,8,0.99927353
1961,9,0.99932244
1961,10,0.99933598
1961,11,0.99931914
1961,12,0.99927496
1961,13,0.99920522
1961,14,0.9991135
1961,15,0.99900631
1961,16,0.99889391
1961,17,0.99879051
1961,18,0.99870661
1961,19,0.99864886
1961,20,0.99861425
1961,21,0.99859379
1961,22,0.99857876
1961,23,0.99856123
1961,24,0.9985387
1961,25,0.99851211
1961,26,0.99848371
1961,27,0.99845638
1961,28,0.99842867
1961,29,0.9983954
1961,30,0.99834762
1961,31,0.99827257
1961,32,0.99815885
1961,33,0.99799553
1961,34,0.99777551
1961,35,0.99749861
1961,36,0.99717011
1961,37,0.99680481
1961,38,0.99642058
1961,39,0.99603364
1961,40,0.99565553
1961,41,0.99528511
1961,42,0.99491286
1961,43,0.99451755
1961,44,0.99406833
1961,45,0.99352116
1961,46,0.99282558
1961,47,0.99193159
1961,48,0.99079665
1961,49,0.98942617
1961,50,0.98787041
1961,51,0.98626275
1961,52,0.98477116
1961,53,0.9834853
1961,54,0.98241247
1961,55,0.98135611
1961,56,0.98004558
1961,57,0.97820509
1961,58,0.97554852
1961,59,0.9720034
1961,60,0.96763446
1961,61,0.96283487
1961,62,0.95825986
1961,63,0.95435816
1961,64,0.95136815
1961,65,0.94888224
1961,66,0.94616752
1961,67,0.94253242
1961,68,0.93727179
1961,69,0.93014949
1961,70,0.92123161
1961,71,0.91102301
1961,72,0.90048793
1961,73,0.89035789
1961,74,0.88110432
1961,75,0.87252905
1961,76,0.86386646
1961,77,0.85437681
1961,78,0.84335521
1961,79,0.83053844
1961,80,0.81611151
1961,81,0.80049698
1961,82,0.78437346
1961,83,0.76823389
1961,84,0.75229223
1961,85,0.73652628
1961,86,0.72063135
1961,87,0.70434996
1961,88,0.68753558
1961,89,0.67018232
1961,90,0.65249072
1961,91,0.63470687
1961,92,0.61710816
1961,93,0.59993349
1961,94,0.58333125
1961,95,0.56802535
1961,96,0.55242599
1961,97,0.53737372
1961,98,0.52291755
1961,99,0.50909647
1961,100,0
1962,0,0.96379789
1962,1,0.99650791
1962,2,0.99743251
1962,3,0.99809649
1962,4,0.99856344
1962,5,0.99888493
1962,6,0.99910039
1962,7,0.99923882
1962,8,0.99932226
1962,9,0.99936443
1962,10,0.99937469
1962,11,0.99935819
1962,12,0.99931797
1962,13,0.99925583
1962,14,0.99917376
1962,15,0.99907503
1962,16,0.99896491
1962,17,0.99885149
1962,18,0.99874341
1962,19,0.99864984
1962,20,0.99857693
1962,21,0.99852785
1962,22,0.99850139
1962,23,0.99849302
1962,24,0.99849499
1962,25,0.99849794
1962,26,0.99849312
1962,27,0.99847228
1962,28,0.99843041
1962,29,0.99836453
1962,30,0.99827402
1962,31,0.99816062
1962,32,0.99802569
1962,33,0.99787029
1962,34,0.99769343
1962,35,0.99749121
1962,36,0.99725859
1962,37,0.99698919
1962,38,0.99667871
1962,39,0.99632744
1962,40,0.99593986
1962,41,0.99552694
1962,42,0.99509779
1962,43,0.9946523
1962,44,0.99417755
1962,45,0.99363528
1962,46,0.99297654
1962,47,0.99214528
1962,48,0.99109024
1962,49,0.98980484
1962,50,0.98832057
1962,51,0.98674828
1962,52,0.98523343
1962,53,0.98385817
1962,54,0.98263587
1962,55,0.98139205
1962,56,0.97987728
1962,57,0.97783168
1962,58,0.97498599
1962,59,0.9712956
1962,60,0.96687555
1962,61,0.96218042
1962,62,0.95791588
